gene	ENSG
GNB1	ENSG00000078369
MPL	ENSG00000117400
JAK1	ENSG00000162434
NRAS	ENSG00000213281
SETDB1	ENSG00000143379
DNMT3A	ENSG00000119772
ASXL2	ENSG00000143970
SF3B1	ENSG00000115524
IDH1	ENSG00000138413
IKZF2	ENSG00000030419
SETD2	ENSG00000181555
CBLB	ENSG00000114423
GATA2	ENSG00000179348
STAG1	ENSG00000118007
KIT	ENSG00000157404
TET2	ENSG00000168769
NPM1	ENSG00000181163
ZNF318	ENSG00000171467
PHIP	ENSG00000146247
IKZF1	ENSG00000185811
CUX1	ENSG00000257923
LUC7L2	ENSG00000146963
BRAF	ENSG00000157764
EZH2	ENSG00000106462
RAD21	ENSG00000164754
JAK2	ENSG00000096968
GATA3	ENSG00000107485
PTEN	ENSG00000171862
SMC3	ENSG00000108055
WT1	ENSG00000184937
NXF1	ENSG00000162231
EED	ENSG00000074266
CBL	ENSG00000110395
ETV6	ENSG00000139083
ETNK1	ENSG00000139163
KRAS	ENSG00000133703
PTPN11	ENSG00000179295
FLT3	ENSG00000122025
PDS5B	ENSG00000083642
YLPM1	ENSG00000119596
IDH2	ENSG00000182054
CREBBP	ENSG00000005339
SRCAP	ENSG00000080603
CTCF	ENSG00000102974
PRPF8	ENSG00000174231
TP53	ENSG00000141510
NF1	ENSG00000196712
SUZ12	ENSG00000178691
IKZF3	ENSG00000161405
PPM1D	ENSG00000170836
GNA13	ENSG00000120063
SRSF2	ENSG00000161547
SETBP1	ENSG00000152217
JAK3	ENSG00000105639
CEBPA	ENSG00000245848
U2AF2	ENSG00000063244
ASXL1	ENSG00000171456
GNAS	ENSG00000087460
RUNX1	ENSG00000159216
U2AF1	ENSG00000160201
EP300	ENSG00000100393
ZRSR2	ENSG00000169249
BCOR	ENSG00000183337
KDM6A	ENSG00000147050
GATA1	ENSG00000102145
SMC1A	ENSG00000072501
ZBTB33	ENSG00000177485
STAG2	ENSG00000101972
BCORL1	ENSG00000085185
PHF6	ENSG00000156531
BRCC3	ENSG00000185515
